1	configuration_refactoring	ultralytics/utils/callbacks/mlflow.py	rename from ultralytics/yolo/utils/callbacks/mlflow.py	A reorganização do pacote desloca callbacks e descritores de datasets; o marco de caminho selecionado não é adoção inicial de MLflow.	O próprio diff identifica renomeação e conserva o callback, contrariando uma leitura de introdução funcional.
2	training_integration;configuration_refactoring	ultralytics/utils/callbacks/mlflow.py	assert SETTINGS['mlflow'] is True	A ativação do callback passa a depender da preferência persistida pelo SettingsManager, expressa em Python.	A presença da guarda permite desabilitar o envio; modificar integração não implica alteração de arquivo CONFIG.
3	configuration_refactoring;implementation_evolution	ultralytics/cfg/default.yaml	copy_paste_mode	O lançamento YOLO11 combina arquiteturas declarativas com implementação e opção de aumento de dados; Q1 também captura evolução geral do trainer.	Os YAMLs de arquitetura e a alteração de copy_paste_mode explicam coalteração sem demonstrar mudança do callback MLflow.
4	implementation_evolution	ultralytics/engine/trainer.py	AdamW	A escolha automática entre MuSGD e AdamW muda dentro do trainer; parâmetros operacionais podem mudar em CODE sem CONFIG.	O diff está restrito à estratégia do otimizador e não altera chamadas de tracking.
5	implementation_evolution	ultralytics/utils/callbacks/base.py	neptune_cb	A manutenção remove Neptune da lista de callbacks e atualiza Ray Tune; no arquivo MLflow remove apenas uma instrução operacional da docstring.	A mudança em mlflow.py é textual; o evento Q1 não demonstra nova operação MLflow.
6	configuration_refactoring;local_artifact_persistence	ultralytics/yolo/engine/trainer.py	utils.save_yaml	A introdução do trainer e defaults aproxima opções de treino e persistência de train.yaml no diretório do experimento.	Salvar YAML localmente não estabelece identidade de run num servidor MLflow nem vínculo verificável com dados externos.
7	configuration_refactoring;data_environment_reference	ultralytics/datasets/ImageNet.yaml	rename from ultralytics/yolo/data/datasets/ImageNet.yaml	A mudança para novos caminhos de datasets ocorre junto à exportação TensorFlow; remoções e adições de descritores elevam a magnitude por caminho.	A similaridade registrada na renomeação mostra que magnitude alta pode refletir deslocamento e não alteração equivalente de hiperparâmetros.
8	configuration_refactoring;implementation_evolution	ultralytics/cfg/models/v9/yolov9c.yaml	RepNCSPELAN4	Os descritores YOLOv9 nomeiam blocos também introduzidos no código, documentando dependência entre arquitetura declarada e implementação.	A topologia declarada não é prova de treinamento ou de melhoria de desempenho; não há vínculo de execução neste diff.
9	configuration_refactoring;implementation_evolution	ultralytics/cfg/default.yaml	visualize: False	A opção visualize conserva seu valor no YAML, mas passa a orientar visualização de acertos e erros no validador.	A edição é de comentário no YAML; coalteração por arquivo e magnitude semântica zero são compatíveis.
10	configuration_refactoring;data_environment_reference	ultralytics/cfg/default.yaml	channels_last:	A opção channels_last passa de falsa para escolha automática, ligada à detecção de CPU, sistema operacional e backend.	Os testes condicionam o resultado ao ambiente; a configuração versionada não determina sozinha o formato de memória efetivo.
